[2023-12-25 17:13:37] | Google Chrome, 无标题 - Google Chrome
[2023-12-25 17:13:38] | Google Chrome, search.bilibili.com/all?keyword=openai assistant&from_source=webtop_search&spm_id_from=333.1007&search_source=5 - Google Chrome
[2023-12-25 17:13:38] | Google Chrome, openai assistant-哔哩哔哩_Bilibili - Google Chrome
[2023-12-25 17:13:41] | Google Chrome, 无标题 - Google Chrome
[2023-12-25 17:13:42] | Google Chrome, 【教程】快速上手 Assistant API_哔哩哔哩_bilibili - Google Chrome
[2023-12-25 17:13:44] | Google Chrome, 【教程】快速上手 Assistant API_哔哩哔哩_bilibili - 内存用量 - 229 MB - Google Chrome
[2023-12-25 17:13:44] | Google Chrome, 【教程】快速上手 Assistant API_哔哩哔哩_bilibili - 正在播放音频 - 内存用量 - 229 MB - Google Chrome
[2023-12-25 17:13:49] | Google Chrome, 【教程】快速上手 Assistant API_哔哩哔哩_bilibili - 正在播放音频 - 内存用量 - 372 MB - Google Chrome
[2023-12-25 17:15:39] | Google Chrome, 【教程】快速上手 Assistant API_哔哩哔哩_bilibili - 内存用量 - 372 MB - Google Chrome
[2023-12-25 17:15:45] | Google Chrome, 【教程】快速上手 Assistant API_哔哩哔哩_bilibili - 正在播放音频 - 内存用量 - 372 MB - Google Chrome
[2023-12-25 17:15:48] | Google Chrome, 【教程】快速上手 Assistant API_哔哩哔哩_bilibili - 正在播放音频 - 内存用量 - 330 MB - Google Chrome
[2023-12-25 17:17:49] | Google Chrome, 【教程】快速上手 Assistant API_哔哩哔哩_bilibili - 正在播放音频 - 内存用量 - 329 MB - Google Chrome
[2023-12-25 17:19:48] | Google Chrome, 【教程】快速上手 Assistant API_哔哩哔哩_bilibili - 正在播放音频 - 内存用量 - 323 MB - Google Chrome
[2023-12-25 17:20:37] | Google Chrome, 【教程】快速上手 Assistant API_哔哩哔哩_bilibili - 内存用量 - 323 MB - Google Chrome
[2023-12-25 17:21:48] | Google Chrome, 【教程】快速上手 Assistant API_哔哩哔哩_bilibili - 内存用量 - 275 MB - Google Chrome
[2023-12-25 17:22:02] | Google Chrome, gpt prompt大全 - Google 搜索 - 内存用量 - 199 MB - Google Chrome
[2023-12-25 17:22:03] | Google Chrome, ChatHub - 内存用量 - 143 MB - Google Chrome
[2023-12-25 17:22:06] | Google Chrome, Playground - OpenAI API - 内存用量 - 119 MB - Google Chrome
[2023-12-25 17:22:07] | Google Chrome, OpenAI - 内存用量 - 101 MB - Google Chrome
[2023-12-25 17:22:09] | Google Chrome, 无标题 - Google Chrome
[2023-12-25 17:22:10] | Google Chrome, OpenAI Platform - Google Chrome
[2023-12-25 17:22:13] | Google Chrome, Overview - OpenAI API - Google Chrome
[2023-12-25 17:22:16] | Google Chrome, Overview - OpenAI API - 内存用量 - 254 MB - Google Chrome
[2023-12-25 17:22:18] | Google Chrome, Text to speech - OpenAI API - 内存用量 - 254 MB - Google Chrome
[2023-12-25 17:22:35] | Google Chrome, Moderation - OpenAI API - 内存用量 - 254 MB - Google Chrome
[2023-12-25 17:22:40] | Google Chrome, Assistants tools - OpenAI API - 内存用量 - 254 MB - Google Chrome
[2023-12-25 17:22:50] | Google Chrome, 助手工具 - OpenAI API - 内存用量 - 254 MB - Google Chrome
[2023-12-25 17:24:16] | Google Chrome, 助手工具 - OpenAI API - 内存用量 - 175 MB - Google Chrome
[2023-12-25 17:24:40] | Google Chrome, How Assistants work - OpenAI API - 内存用量 - 175 MB - Google Chrome
[2023-12-25 17:25:05] | Google Chrome, Assistants tools - OpenAI API - 内存用量 - 175 MB - Google Chrome
[2023-12-25 17:25:12] | Google Chrome, no window
[2023-12-25 17:25:13] | Google Chrome, Assistants tools - OpenAI API - 内存用量 - 175 MB - Google Chrome
[2023-12-25 17:25:18] | Google Chrome, Assistants overview - OpenAI API - 内存用量 - 175 MB - Google Chrome
[2023-12-25 17:26:16] | Google Chrome, Assistants overview - OpenAI API - 内存用量 - 176 MB - Google Chrome
[2023-12-25 17:26:58] | Google Chrome, Actions - OpenAI API - 内存用量 - 176 MB - Google Chrome
[2023-12-25 17:27:12] | Google Chrome, Introduction - OpenAI API - 内存用量 - 176 MB - Google Chrome
[2023-12-25 17:27:28] | Google Chrome, Usage - OpenAI API - 内存用量 - 176 MB - Google Chrome
[2023-12-25 17:27:56] | Google Chrome, Organization settings - OpenAI API - 内存用量 - 176 MB - Google Chrome
[2023-12-25 17:27:58] | Google Chrome, Billing overview - OpenAI API - 内存用量 - 176 MB - Google Chrome
[2023-12-25 17:28:03] | Google Chrome, Overview - OpenAI API - 内存用量 - 176 MB - Google Chrome
[2023-12-25 17:28:08] | Google Chrome, API Reference - OpenAI API - 内存用量 - 176 MB - Google Chrome
[2023-12-25 17:28:10] | Google Chrome, Overview - OpenAI API - 内存用量 - 176 MB - Google Chrome
[2023-12-25 17:28:13] | Google Chrome, Assistants - OpenAI API - 内存用量 - 176 MB - Google Chrome
[2023-12-25 17:28:16] | Google Chrome, Assistants - OpenAI API - 内存用量 - 376 MB - Google Chrome
[2023-12-25 17:28:24] | Google Chrome, OpenAI API - 内存用量 - 376 MB - Google Chrome
[2023-12-25 17:28:30] | Google Chrome, 哔哩哔哩 (゜-゜)つロ 干杯~-bilibili - 内存用量 - 159 MB - Google Chrome
[2023-12-25 17:28:31] | Google Chrome, openai assistant-哔哩哔哩_Bilibili - 内存用量 - 113 MB - Google Chrome
[2023-12-25 17:28:33] | Google Chrome, 【教程】快速上手 Assistant API_哔哩哔哩_bilibili - 内存用量 - 607 MB - Google Chrome
[2023-12-25 17:28:42] | Google Chrome, 【教程】快速上手 Assistant API_哔哩哔哩_bilibili - 正在播放音频 - 内存用量 - 607 MB - Google Chrome
[2023-12-25 17:28:43] | Google Chrome, OpenAI最近发布的Assistant API究竟是什么？_哔哩哔哩_bilibili - 正在播放音频 - 内存用量 - 607 MB - Google Chrome
[2023-12-25 17:29:07] | Google Chrome, 【教程】快速上手 Assistant API_哔哩哔哩_bilibili - 正在播放音频 - 内存用量 - 607 MB - Google Chrome
[2023-12-25 17:29:11] | Google Chrome, 【教程】快速上手 OpenAI GPTs：分分钟创建你的专属 GPT_哔哩哔哩_bilibili - 正在播放音频 - 内存用量 - 607 MB - Google Chrome
[2023-12-25 17:30:16] | Google Chrome, 【教程】快速上手 OpenAI GPTs：分分钟创建你的专属 GPT_哔哩哔哩_bilibili - 正在播放音频 - 内存用量 - 327 MB - Google Chrome
[2023-12-25 17:32:16] | Google Chrome, 【教程】快速上手 OpenAI GPTs：分分钟创建你的专属 GPT_哔哩哔哩_bilibili - 正在播放音频 - 内存用量 - 334 MB - Google Chrome
[2023-12-25 17:33:08] | Electron, note.md — AllMind
[2023-12-25 17:33:11] | Electron, active_window_log.txt — AllMind
[2023-12-29 11:06:13] | Electron, main.py — AllMind
[2023-12-29 11:06:44] | Electron, main.py — AllMind
